id,model,dimension,score,reason,evidence
N11,gemini-3.5-flash,ling,3,"The text is grammatical and flows smoothly throughout, with clear transitions between observables and consistent sentence structures. Some repetitiveness is expected by design and does not hinder clarity; each statement is unambiguous on its own.",
N11,gemini-3.5-flash,inte,3,"Contributions consistently align with their stated direction (towards top or qcd), rarity and position descriptors don't clash within the same frame, and the reconstruction quality claims (54th percentile, 'reconstructed better than most') are consistent with the moderate score gap. No same-frame contradictions are present.",
N11,gemini-3.5-flash,over,3,"The narrative covers the decision and its percentile standing, the reconstruction adequacy, ranked observable contributions with clear directionality, and rarity information, all woven into an interpretive rather than purely tabular account. This satisfies criteria (a)-(e) reasonably well.",
N12,gpt-oss-120b,ling,3,"The narrative is grammatically correct throughout, with consistent sentence structure and clear labeling of observable name, value, contribution, position, and rarity for each feature. Some phrasing is slightly clunky (e.g. repeated parenthetical tags like '(qcd)' after 'toward qcd'), but nothing impedes comprehension.",
N12,gpt-oss-120b,inte,3,"Contributions both toward qcd and toward top are reported without contradiction, consistent with the stated framework that decisions are sums of mixed-direction pushes. Position/physics frame differences (e.g. 'low end of the top-class distribution' vs. general physics framing) are used consistently within their own frames, and rarity labels align with the qualitative descriptions given (e.g. 0.01 called extreme, 8.34 called unusual). No same-frame contradictions or clashes between stated adequacy and reconstruction quality are present.",
N12,gpt-oss-120b,over,2,"The narrative covers the decision and its percentile standing, reports reconstruction fidelity and percentile, lists drivers in descending order of contribution with clear direction (toward qcd or top), and notes rarity for each. It reads mostly as a structured recitation rather than a deeply interpretive synthesis, and does not explicitly reflect on what the mix of contributions collectively implies, slightly limiting the interpretive framing (e).",
N13,gpt-oss-120b,ling,3,"The narrative is grammatical and clear throughout, with consistent sentence structure across observables. Some phrasing is dense (e.g., 'lies in the low part of the top distribution (low) and is unusually rare for that class (4.14 → unusual)') but remains parseable without confusion.",
N13,gpt-oss-120b,inte,3,"All contributions are consistent with the stated direction (toward qcd or toward top), and the position/rarity labels don't conflict within the same frame anywhere. The reconstruction percentile of 17 is explicitly flagged as poor, consistent with the reported gap between 3.77 and 2.34, so no clash with any claimed adequacy.",
N13,gpt-oss-120b,over,2,"The narrative covers the decision and its percentile standing, honestly flags the weak reconstruction fidelity, lists each observable's contribution and direction with magnitude implicitly ordered by contribution size, and includes rarity/position framing for each. It reads mostly as a structured data dump per observable rather than a unified interpretive narrative, and offers little synthesis tying the drivers together into a coherent story of the decision.",
N14,gpt-oss-120b,ling,3,"The narrative is grammatically sound throughout, with clear sentence structure and smooth transitions between observables. Some phrasing is slightly clunky (e.g. 'occupies the high segment of qcd jets') but nothing impedes comprehension.",
N14,gpt-oss-120b,inte,3,"Each observable's contribution direction, position frame, and rarity label are internally consistent, and cross-frame 'high' usages are properly distinct per the stated rules. No same-frame contradictions or clashes between interpretive words and stated facts (e.g. reconstruction percentile of 48 is consistently called 'worse than most').",
N14,gpt-oss-120b,over,3,"The narrative covers the decision, its percentile standing, the reconstruction adequacy (honestly flagged as worse than most), and walks through each observable's contribution, direction, and rarity in descending order of magnitude. It reads somewhat as a flat recitation observable-by-observable without much synthesis of the overall shape of reasoning, but it does hit all the required elements (a)-(d) and gives a legitimate interpretive account within the imposed reporting style.",
N15,gemini-3.5-flash,ling,3,"The narrative is grammatically clean, flows logically from decision to reconstruction to decomposition, and each observable sentence follows a consistent, easy-to-parse pattern. No ambiguous or awkward phrasing impedes reading.",
N15,gemini-3.5-flash,inte,3,"All contributions are consistently signed (towards qcd or top) and match their stated direction; position and physics frames are used distinctly without cross-contamination; rarity language aligns with stated percentiles (e.g., 47.69% called 'ordinary', 0.01% called 'extreme'); the reconstruction quality claim (93rd percentile) is consistent with calling it 'better than most'.",
N15,gemini-3.5-flash,over,3,"The narrative covers the score and its percentile standing, reconstruction adequacy, ordered contributions with clear direction and magnitude, and rarity context for each leading feature, giving a coherent interpretive account of the decision's makeup.",
N16,gemini-3.5-flash-lite,ling,2,"The text is grammatical and flows well overall, though sentences are long and densely packed with clauses (value, meaning, contribution, position, rarity all in one sentence), which requires some careful reading but never becomes ambiguous.",
N16,gemini-3.5-flash-lite,inte,3,"All contributions align with their stated positions and rarities without same-frame contradictions, and the reconstruction quality claim (57th percentile, 'better than most') is consistent with the close score match (8.19 vs 8.71). No claim contradicts another.",
N16,gemini-3.5-flash-lite,over,2,"The narrative reports the decision, score standing, reconstruction quality, and walks through ten observables in descending order of contribution with rarity and direction noted, giving a fairly clear sense of what drove the classification. It stays close to a structured recitation with limited interpretive synthesis beyond per-observable phrasing, but it does cover (a)-(d) adequately.",
N17,gemini-3.5-flash-lite,ling,2,"The narrative is grammatical and flows smoothly throughout, with consistent sentence structure across observables. Some phrasing is slightly clunky (e.g. 'this value sits at high within the top class'), but meaning remains clear and unambiguous on first read.",
N17,gemini-3.5-flash-lite,inte,3,"Contributions and directions are stated consistently, position/physics frames are kept distinct, and the reconstruction quality (54th percentile, described as 'better than most') matches the honest framing of a moderate score gap. No same-frame contradictions or clashes with interpretive words appear.",
N17,gemini-3.5-flash-lite,over,3,"The narrative covers the decision and its percentile standing, reconstruction adequacy, ranked contributions with direction, and rarity of each leading value, framed with interpretive physical context rather than a bare list. This gives a fairly complete and coherent account of the reasoning within the required reporting style.",
N18,deepseek-v4-flash,ling,2,"The text is grammatical and mostly clear, with consistent sentence structure across observables. Some clauses are dense (mixing position, rarity, and direction in one sentence) but remain parseable without real ambiguity.",
N18,deepseek-v4-flash,inte,3,"The narrative consistently applies its own framework: contributions point both ways without contradiction, rarity/position statements stay within their own frame, and the reconstruction quality claim (worse than most) is consistent with the given percentile of 37. No same-frame contradictions or clashes with stated interpretive words are present.",
N18,deepseek-v4-flash,over,3,"The explanation gives the decision, class-relative percentile, reconstruction adequacy (honestly flagged as worse than most), and a ranked list of observable contributions with direction, magnitude, and rarity for each — fulfilling (a)-(d). It reads somewhat as a list rather than a deeply interpretive narrative, but does convey the shape of the reasoning with some interpretive framing (e.g., 'extreme for that class').",
N19,gemini-3.5-flash,ling,3,"The narrative is grammatically clean, uses consistent sentence structures across observables, and flows logically from summary to detailed breakdown. Some repetition is present but not confusing, and terminology is used consistently throughout.",
N19,gemini-3.5-flash,inte,3,"All contributions, directions, and rarity/position statements align internally; positions and physics-frame descriptions differ as expected without same-frame contradictions, and the reconstruction quality claim (39th percentile, worse than most) is consistent with the modest score gap (5.8 vs 4.98) rather than contradicting it.",
N19,gemini-3.5-flash,over,3,"The explanation covers the decision, score standing, reconstruction adequacy (honestly flagged as below average), ranked contributions with direction, and rarity context, forming a coherent interpretive account of the top-tagging decision. It fulfills all the listed levers (a)-(e) within the required reporting style.",
N20,gemini-3.5-flash,ling,3,"The narrative is grammatical, flows clearly sentence to sentence, and each observable's description follows a consistent, readable pattern with no ambiguous phrasing.",
N20,gemini-3.5-flash,inte,3,"All contributions consistently point toward the top class, position/physics frames are used correctly per the stated conventions, and the reconstruction quality claim ('worse than most') aligns with the stated 13% percentile without contradiction.",
N20,gemini-3.5-flash,over,3,"The explanation states the decision, score standing, reconstruction adequacy (honestly flagged as weak), and lists drivers in descending order of contribution with rarity context, giving a coherent interpretive account within the required reporting style.",
